,subj,session,pres,corr
0,soe101,1,1,0.050843969
1,soe103,1,1,0.065901643
2,soe104,1,1,0.041968559
3,soe105,1,1,0.048063811
4,soe106,1,1,0.02479706
5,soe108,1,1,0.024773815
6,soe109,1,1,0.035929231
7,soe110,1,1,0.035441163
8,soe111,1,1,0.062756461
9,soe112,1,1,0.018708515
10,soe113,1,1,0.017691275
11,soe114,1,1,0.023934959
12,soe115,1,1,0.032132625
13,soe116,1,1,0.031257922
14,soe117,1,1,0.02837998
15,soe118,1,1,0.036302501
16,soe120,1,1,0.028507325
17,soe121,1,1,0.044960657
18,soe122,1,1,0.032460738
19,soe123,1,1,0.032993507
20,soe124,1,1,0.026658024
21,soe125,1,1,0.041096119
22,soe126,1,1,0.033747044
23,soe128,1,1,0.020565999
24,soe129,1,1,0.03529246
25,soe130,1,1,0.051244645
26,soe131,1,1,0.024481924
27,soe133,1,1,0.016774509
28,soe134,1,1,0.028034892
29,soe135,1,1,0.030641822
30,soe136,1,1,0.046444336
31,soe137,1,1,0.045102753
32,soe138,1,1,0.065724764
33,soe139,1,1,0.018689074
34,soe140,1,1,0.04338202
35,soe141,1,1,0.043981645
36,soe142,1,1,0.045636489
37,soe143,1,1,0.02327033
38,soe144,1,1,0.044083422
39,soe145,1,1,0.017876065
40,soe101,1,2,0.035121269
41,soe103,1,2,0.022326089
42,soe104,1,2,0.018455872
43,soe105,1,2,0.01754955
44,soe106,1,2,0.02566938
45,soe108,1,2,0.015941107
46,soe109,1,2,0.012386801
47,soe110,1,2,0.018823211
48,soe111,1,2,0.012748854
49,soe112,1,2,0.010816887
50,soe113,1,2,0.002758785
51,soe114,1,2,0.005654302
52,soe115,1,2,0.017322393
53,soe116,1,2,0.015414346
54,soe117,1,2,0.00597898
55,soe118,1,2,0.007253726
56,soe120,1,2,0.025857508
57,soe121,1,2,0.014324066
58,soe122,1,2,0.00337921
59,soe123,1,2,0.017725624
60,soe124,1,2,0.016762407
61,soe125,1,2,0.026619521
62,soe126,1,2,0.009873315
63,soe128,1,2,0.014770075
64,soe129,1,2,0.008597252
65,soe130,1,2,0.048591853
66,soe131,1,2,0.011058448
67,soe133,1,2,0.008250024
68,soe134,1,2,0.016985963
69,soe135,1,2,0.008508008
70,soe136,1,2,0.041671387
71,soe137,1,2,0.038156118
72,soe138,1,2,0.035628853
73,soe139,1,2,-0.000727858
74,soe140,1,2,0.009245549
75,soe141,1,2,0.016134916
76,soe142,1,2,0.028914217
77,soe143,1,2,0.024865116
78,soe144,1,2,0.045567306
79,soe145,1,2,0.014789476
80,soe101,2,1,0.016038566
81,soe103,2,1,0.037892233
82,soe104,2,1,0.015519073
83,soe105,2,1,0.007563231
84,soe106,2,1,0.047903789
85,soe108,2,1,0.016790632
86,soe109,2,1,0.014942704
87,soe110,2,1,0.011489334
88,soe111,2,1,0.015347672
89,soe112,2,1,0.009243476
90,soe113,2,1,0.006183593
91,soe114,2,1,0.016869042
92,soe115,2,1,0.0266181
93,soe116,2,1,0.02187333
94,soe117,2,1,0.021113216
95,soe118,2,1,0.025796963
96,soe120,2,1,0.015316812
97,soe121,2,1,0.0276048
98,soe122,2,1,0.001302779
99,soe123,2,1,0.029816908
100,soe124,2,1,0.038626825
101,soe125,2,1,0.015265007
102,soe126,2,1,0.017724281
103,soe128,2,1,0.011293809
104,soe129,2,1,0.019071346
105,soe130,2,1,0.052744127
106,soe131,2,1,0.02437085
107,soe133,2,1,0.024914899
108,soe134,2,1,0.02225046
109,soe135,2,1,0.014168789
110,soe136,2,1,0.019974816
111,soe137,2,1,0.05397776
112,soe138,2,1,0.037500123
113,soe139,2,1,0.014355337
114,soe140,2,1,0.022485257
115,soe141,2,1,0.035311608
116,soe142,2,1,0.040502411
117,soe143,2,1,0.026559377
118,soe144,2,1,0.067927693
119,soe145,2,1,0.030240214
120,soe101,2,2,0.006552187
121,soe103,2,2,0.010231263
122,soe104,2,2,0.011203507
123,soe105,2,2,0.009011266
124,soe106,2,2,0.03339401
125,soe108,2,2,-0.001990169
126,soe109,2,2,0.005856745
127,soe110,2,2,0.007096612
128,soe111,2,2,0.007536259
129,soe112,2,2,0.015738769
130,soe113,2,2,-0.001337992
131,soe114,2,2,0.001354647
132,soe115,2,2,0.018770341
133,soe116,2,2,0.011490864
134,soe117,2,2,0.02111426
135,soe118,2,2,0.015061224
136,soe120,2,2,0.005326954
137,soe121,2,2,0.012086952
138,soe122,2,2,0.008343613
139,soe123,2,2,0.005751033
140,soe124,2,2,0.015006081
141,soe125,2,2,0.018891436
142,soe126,2,2,0.00283762
143,soe128,2,2,0.006515777
144,soe129,2,2,0.002401379
145,soe130,2,2,0.034813037
146,soe131,2,2,0.007075002
147,soe133,2,2,-0.000833181
148,soe134,2,2,0.00526218
149,soe135,2,2,0.004385994
150,soe136,2,2,0.021425545
151,soe137,2,2,0.056823938
152,soe138,2,2,0.020982236
153,soe139,2,2,-0.000327748
154,soe140,2,2,0.006484401
155,soe141,2,2,0.017986023
156,soe142,2,2,0.021354857
157,soe143,2,2,0.011848393
158,soe144,2,2,0.038851653
159,soe145,2,2,0.011202853
160,soe101,3,1,0.007045088
161,soe103,3,1,0.024345359
162,soe104,3,1,0.011526137
163,soe105,3,1,0.020796543
164,soe106,3,1,0.023492611
165,soe108,3,1,0.010877902
166,soe109,3,1,0.006736808
167,soe110,3,1,0.014728321
168,soe111,3,1,0.028564622
169,soe112,3,1,0.029872275
170,soe113,3,1,0.017473904
171,soe114,3,1,0.010688077
172,soe115,3,1,0.006230215
173,soe116,3,1,0.016470018
174,soe117,3,1,0.010167356
175,soe118,3,1,0.016587487
176,soe120,3,1,0.00646904
177,soe121,3,1,0.009968034
178,soe122,3,1,0.020732852
179,soe123,3,1,0.015184606
180,soe124,3,1,0.01838798
181,soe125,3,1,0.033861948
182,soe126,3,1,0.010779093
183,soe128,3,1,0.001038831
184,soe129,3,1,0.01853961
185,soe130,3,1,0.04834416
186,soe131,3,1,0.010865883
187,soe133,3,1,0.016611424
188,soe134,3,1,0.013685375
189,soe135,3,1,0.032243709
190,soe136,3,1,0.046054036
191,soe137,3,1,0.039672777
192,soe138,3,1,0.070678367
193,soe139,3,1,0.014564866
194,soe140,3,1,0.004632617
195,soe141,3,1,0.018555846
196,soe142,3,1,0.010783442
197,soe143,3,1,0.034364747
198,soe144,3,1,0.03463346
199,soe145,3,1,0.011101995
200,soe101,3,2,0.008915126
201,soe103,3,2,0.010620547
202,soe104,3,2,0.010058548
203,soe105,3,2,0.00773696
204,soe106,3,2,0.012365702
205,soe108,3,2,0.006596135
206,soe109,3,2,-0.002137976
207,soe110,3,2,0.000281528
208,soe111,3,2,0.01721798
209,soe112,3,2,0.003767441
210,soe113,3,2,0.009499439
211,soe114,3,2,0.006167526
212,soe115,3,2,0.000682131
213,soe116,3,2,0.011049246
214,soe117,3,2,-0.004374564
215,soe118,3,2,0.003052104
216,soe120,3,2,0.005045014
217,soe121,3,2,0.000843789
218,soe122,3,2,0.011535019
219,soe123,3,2,0.003017375
220,soe124,3,2,0.009058558
221,soe125,3,2,0.008217557
222,soe126,3,2,0.005012069
223,soe128,3,2,-6.91584E-06
224,soe129,3,2,-0.004777781
225,soe130,3,2,0.034655515
226,soe131,3,2,-0.000120527
227,soe133,3,2,0.007670263
228,soe134,3,2,0.021700656
229,soe135,3,2,0.019202896
230,soe136,3,2,0.013919432
231,soe137,3,2,0.039524598
232,soe138,3,2,0.030410907
233,soe139,3,2,0.002402347
234,soe140,3,2,0.00598264
235,soe141,3,2,0.015821917
236,soe142,3,2,0.019752332
237,soe143,3,2,0.002005957
238,soe144,3,2,0.018283967
239,soe145,3,2,0.005168867
