,subj,ses,time
0,soe101,1,0
1,soe101,2,48
2,soe101,3,73
3,soe103,1,0
4,soe103,2,6
5,soe103,3,14
6,soe104,1,0
7,soe104,2,61
8,soe104,3,62
9,soe105,1,0
10,soe105,2,12
11,soe105,3,18
12,soe106,1,0
13,soe106,2,9
14,soe106,3,14
15,soe108,1,0
16,soe108,2,2
17,soe108,3,19
18,soe109,1,0
19,soe109,2,34
20,soe109,3,35
21,soe110,1,0
22,soe110,2,14
23,soe110,3,70
24,soe111,1,0
25,soe111,2,25
26,soe111,3,32
27,soe112,1,0
28,soe112,2,10
29,soe112,3,15
30,soe113,1,0
31,soe113,2,6
32,soe113,3,13
33,soe114,1,0
34,soe114,2,7
35,soe114,3,112
36,soe115,1,0
37,soe115,2,15
38,soe115,3,19
39,soe116,1,0
40,soe116,2,13
41,soe116,3,20
42,soe117,1,0
43,soe117,2,8
44,soe117,3,13
45,soe118,1,0
46,soe118,2,6
47,soe118,3,8
48,soe120,1,0
49,soe120,2,2
50,soe120,3,9
51,soe121,1,0
52,soe121,2,7
53,soe121,3,12
54,soe122,1,0
55,soe122,2,6
56,soe122,3,17
57,soe123,1,0
58,soe123,2,1
59,soe123,3,5
60,soe124,1,0
61,soe124,2,9
62,soe124,3,13
63,soe125,1,0
64,soe125,2,11
65,soe125,3,20
66,soe126,1,0
67,soe126,2,3
68,soe126,3,7
69,soe128,1,0
70,soe128,2,40
71,soe128,3,61
72,soe129,1,0
73,soe129,2,5
74,soe129,3,14
75,soe130,1,0
76,soe130,2,18
77,soe130,3,39
78,soe131,1,0
79,soe131,2,6
80,soe131,3,9
81,soe133,1,0
82,soe133,2,146
83,soe133,3,160
84,soe134,1,0
85,soe134,2,13
86,soe134,3,21
87,soe135,1,0
88,soe135,2,10
89,soe135,3,46
90,soe136,1,0
91,soe136,2,28
92,soe136,3,127
93,soe137,1,0
94,soe137,2,47
95,soe137,3,96
96,soe138,1,0
97,soe138,2,3
98,soe138,3,21
99,soe139,1,0
100,soe139,2,8
101,soe139,3,28
102,soe140,1,0
103,soe140,2,6
104,soe140,3,85
105,soe141,1,0
106,soe141,2,12
107,soe141,3,25
108,soe142,1,0
109,soe142,2,6
110,soe142,3,13
111,soe143,1,0
112,soe143,2,6
113,soe143,3,157
114,soe144,1,0
115,soe144,2,6
116,soe144,3,14
117,soe145,1,0
118,soe145,2,25
119,soe145,3,165
